SampleName	group
GSM2230440	Control
GSM2230441	PE
GSM2230442	PE
GSM2230443	Control
GSM2230444	Control
GSM2230445	Control
GSM2230446	Control
GSM2230447	Control
GSM2230448	Control
GSM2230449	Control
GSM2230450	Control
GSM2230451	Control
GSM2230452	Control
GSM2230453	Control
GSM2230454	Control
GSM2230455	Control
GSM2230456	Control
GSM2230457	Control
GSM2230458	PE
GSM2230459	PE
GSM2230460	PE
GSM2230461	PE
GSM2230462	PE
GSM2230463	PE
GSM2230464	PE
GSM2230465	PE
GSM2230466	PE
GSM2230467	PE
GSM2230468	PE
GSM2230469	PE
GSM2230470	PE
GSM2230471	PE
GSM2230472	cell
GSM2230473	cell
GSM2230474	cell
GSM2230475	cell
GSM2230476	cell
GSM2230477	cell
